Time,Amplitude
0.0,-1.2708750023386613e-15
0.001,0.8726967435561506
0.002,1.179113101888291
0.003,1.0238793350181774
0.004,0.9025562498262031
0.005,0.9905155661679883
0.006,1.0665880262520062
0.007,1.004994353517529
0.008,0.94940220235342
0.009000000000000001,0.9969458771050504
0.01,1.0408885589966033
0.011,1.0020477799960101
0.012,0.9655972038611228
0.013000000000000001,0.998539284613694
0.014,1.029786550223083
0.015,1.0010888862580132
0.016,0.9736498075672567
0.017,0.9991614204444358
0.018000000000000002,1.0237062582358134
0.019,1.0006619384241602
0.02,0.9783793635159265
0.021,0.9994675227860919
0.022,1.0199437304209729
0.023,1.0004345813372753
0.024,0.9814243803602254
0.025,0.9996414377718016
0.026000000000000002,1.0174471389828064
0.027,1.0002981480310391
0.028,0.9834910008023231
0.029,0.999750869802126
0.03,1.0157252307613496
0.031,1.000208595413451
0.032,0.9849309250213136
0.033,0.9998255295684367
0.034,1.014520322460236
0.035,1.000145242054377
0.036000000000000004,0.9859364593831762
0.037,0.9998802209304736
0.038,1.0136868657327034
0.039,1.00009721557338
0.04,0.9866188354210085
0.041,0.9999231276753856
0.042,1.0131394448871895
0.043000000000000003,1.0000582022164246
0.044,0.9870435617726588
0.045,0.9999592486907269
0.046,1.0128283060061718
0.047,1.0000241299843862
0.048,0.987247563447673
0.049,0.9999920093707823
0.05,1.0127273126258387
0.051000000000000004,0.9999920093707798
0.052000000000000005,0.9872475634476771
0.053,1.0000241299843846
0.054,1.0128283060061531
0.055,0.9999592486907136
0.056,0.9870435617726779
0.057,1.0000582022164597
0.058,1.013139444887189
0.059000000000000004,0.9999231276753479
0.06,0.98661883542099
0.061,1.0000972155734007
0.062,1.013686865732726
0.063,0.9998802209304581
0.064,0.9859364593831493
0.065,1.0001452420543782
0.066,1.0145203224602544
0.067,0.9998255295684387
0.068,0.984930925021302
0.069,1.0002085954134496
0.07,1.0157252307613558
0.07100000000000001,0.9997508698021224
0.07200000000000001,0.9834910008023116
0.073,1.000298148031037
0.074,1.0174471389828181
0.075,0.9996414377718139
0.076,0.9814243803602323
0.077,1.0004345813372746
0.078,1.0199437304209669
0.079,0.9994675227860873
0.08,0.9783793635159346
0.081,1.0006619384241744
0.082,1.023706258235814
0.083,0.9991614204444195
0.084,0.9736498075672467
0.085,1.0010888862580203
0.08600000000000001,1.0297865502230823
0.08700000000000001,0.9985392846136731
0.088,0.9655972038611054
0.089,1.002047779996021
0.09,1.0408885589966264
0.091,0.996945877105057
0.092,0.9494022023534167
0.093,1.0049943535175396
0.094,1.0665880262520226
0.095,0.9905155661679811
0.096,0.9025562498261757
0.097,1.0238793350181647
0.098,1.1791131018883059
0.099,0.8726967435561627
0.1,-4.971992621065469e-15
0.101,-0.8726967435561691
0.10200000000000001,-1.1791131018882894
0.10300000000000001,-1.023879335018157
0.10400000000000001,-0.9025562498261938
0.105,-0.9905155661679965
